Time (s),power (dB),amplitude (real),amplitude (imag)
-3.67986585078842e-05,-59.12197303804035,3.231625487602346e-09,-9.869984433695197e-10
-3.677865380089432e-05,-58.420028119703375,-3.6183322623172166e-09,5.728477996611115e-10
-3.675864909390444e-05,-57.21479418545482,4.1741558562899665e-09,-5.379582343986684e-10
-3.673864438691457e-05,-56.27846531643303,-4.604125114645666e-09,8.813661776656931e-10
-3.671863967992468e-05,-55.87452208255792,4.700687491544605e-09,-1.421367402861865e-09
-3.669863497293481e-05,-56.05870183318777,-4.418071801945615e-09,1.896314193772515e-09
-3.667863026594493e-05,-56.827854222785504,3.883353946544049e-09,-2.069574063003022e-09
-3.6658625558955046e-05,-58.04133758465716,-3.3592119961111984e-09,1.8327398548897121e-09
-3.6638620851965166e-05,-59.09471996480818,3.1358517803003743e-09,-1.2868085450366342e-09
-3.6618616144975285e-05,-58.9639403869119,-3.3633003600422306e-09,7.272538485629504e-10
-3.6598611437985405e-05,-57.7456384068758,3.929175690393767e-09,-4.86377178092026e-10
-3.6578606730995524e-05,-56.51578485419739,-4.5049726472617e-09,7.151274062286903e-10
-3.6558602024005644e-05,-55.85027207156247,4.75639472607141e-09,-1.2761255690701701e-09
-3.653859731701576e-05,-55.86402692977188,-4.558635042898979e-09,1.8422664576205989e-09
-3.651859261002588e-05,-56.49994729036632,4.050627727108619e-09,-2.1153283228280614e-09
-3.6498587903036e-05,-57.57546826852379,-3.5140765585326878e-09,1.9881239619668095e-09
-3.647858319604613e-05,-58.66291970310738,3.2037149803574266e-09,-1.5577925809420305e-09
-3.645857848905625e-05,-59.04725508833212,-3.245742894082277e-09,1.0396416227609015e-09
-3.643857378206637e-05,-58.38895583633476,3.6147425689138175e-09,-6.71179853478033e-10
-3.6418569075076487e-05,-57.244401978543834,-4.146523104315653e-09,6.316452725227939e-10
-3.6398564368086606e-05,-56.282424135404995,4.585834143614546e-09,-9.617055684879084e-10
-3.6378559661096725e-05,-55.831179289247984,-4.697653986485012e-09,1.5135014125507912e-09
-3.6358554954106845e-05,-55.99570780748613,4.409373288908431e-09,-2.002629004547385e-09
