Time (s),power (dB),amplitude (real),amplitude (imag)
-3.793892680630736e-05,-57.7428738236288,-3.024030262646356e-09,4.4358822210264447e-10
-3.791892209931749e-05,-57.332659175488686,3.1732079802238956e-09,-4.445830099893136e-10
-3.78989173923276e-05,-56.98041071804198,-3.295778481667261e-09,5.217084114782752e-10
-3.7878912685337726e-05,-56.76677677293142,3.358148084385e-09,-6.469785236361637e-10
-3.7858907978347845e-05,-56.72276267097453,-3.3474681702290183e-09,7.805966845579847e-10
-3.7838903271357965e-05,-56.84074247184583,3.2736771971458217e-09,-8.83895459965245e-10
-3.7818898564368084e-05,-57.080655054509606,-3.164478933205965e-09,9.307781597190665e-10
-3.7798893857378204e-05,-57.373091197388504,3.0554516359272936e-09,-9.143187645073976e-10
-3.777888915038832e-05,-57.62867605746803,-2.9787596895315877e-09,8.470028506516292e-10
-3.775888444339844e-05,-57.76390096213473,2.953996084856938e-09,-7.551935590665237e-10
-3.773887973640856e-05,-57.73840608213101,-2.983643744515462e-09,6.700854078322776e-10
-3.771887502941868e-05,-57.575358404052196,3.05396989213511e-09,-6.181883555142947e-10
-3.76988703224288e-05,-57.344177372091906,-3.1404680440471937e-09,6.14141662517439e-10
-3.767886561543892e-05,-57.12344179506172,3.2157660628493363e-09,-6.576148133715878e-10
-3.7658860908449047e-05,-56.973875488250286,-3.2575120812196662e-09,7.346550088950506e-10
-3.7638856201459166e-05,-56.92938992869921,3.254119482911142e-09,-8.225685844724958e-10
-3.7618851494469285e-05,-56.9978549017014,-3.207142134053397e-09,8.966278642591484e-10
-3.7598846787479405e-05,-57.16340516529468,3.130097745071586e-09,-9.367036446357945e-10
-3.7578842080489524e-05,-57.38767166708993,-3.0444350630026497e-09,9.32248078763011e-10
-3.7558837373499644e-05,-57.61236349028911,2.9738642753917027e-09,-8.846721342190237e-10
-3.753883266650976e-05,-57.76909682062282,-2.9384191981148447e-09,8.068378459646994e-10
-3.751882795951988e-05,-57.800764906469965,2.9494911434805287e-09,-7.199555557487522e-10
-3.749882325253e-05,-57.68745902611252,-3.006796307465197e-09,6.485866040734203e-10
-3.747881854554012e-05,-57.457988168113104,3.0978965597960613e-09,-6.147284918969135e-10
-3.745881383855024e-05,-57.17648746354294,-3.200502271589192e-09,6.321416093874844e-10
-3.743880913156037e-05,-56.91646898505883,3.287317603233943e-09,-7.021562732826477e-10
-3.741880442457049e-05,-56.74077083424447,-3.332637578057071e-09,8.121033027367151e-10
-3.7398799717580606e-05,-56.692934894175636,3.319346981076015e-09,-9.371419225321097e-10
-3.7378795010590726e-05,-56.794818350397776,-3.2445729835114877e-09,1.0455677915863184e-09
-3.7358790303600845e-05,-57.04373699571502,3.1222210928931305e-09,-1.1067495205884458e-09
-3.7338785596610965e-05,-57.40514873184239,-2.981138836854538e-09,1.0998945832928558e-09
-3.7318780889621084e-05,-57.80205996125028,2.85870549279384e-09,-1.0212191679586336e-09
-3.7298776182631203e-05,-58.11381454450378,-2.7910223462560826e-09,8.871117929128537e-10
-3.727877147564132e-05,-58.21071357630311,2.802167760726565e-09,-7.31699721641682e-10
-3.725876676865144e-05,-58.03015209244177,-2.8957042895627566e-09,5.987439485424278e-10
-3.723876206166156e-05,-57.628157378775,3.051406925293383e-09,-5.296077299720111e-10
-3.721875735467168e-05,-57.14142512385885,-3.2289245165484945e-09,5.505776986561003e-10
-3.71987526476818e-05,-56.70932774674583,3.3780583853778606e-09,-6.634770915657159e-10
-3.717874794069193e-05,-56.43140895514023,-3.453136529114757e-09,8.42932288064555e-10
-3.7158743233702046e-05,-56.36409903112161,3.427323837578085e-09,-1.0418658256948943e-09
-3.7138738526712166e-05,-56.52852244969188,-3.3022804296226306e-09,1.2042587919543738e-09
-3.7118733819722285e-05,-56.91135476376439,3.10965114087474e-09,-1.2817426673006684e-09
-3.7098729112732405e-05,-57.45193556185981,-2.9032303582823235e-09,1.2490072011108959e-09
-3.7078724405742524e-05,-58.01897571963778,2.743612501692631e-09,-1.1129772331326563e-09
-3.7058719698752644e-05,-58.408853111081385,-2.6797471287853227e-09,9.12367868921281e-10
-3.703871499176276e-05,-58.432386962228804,2.733147583308583e-09,-7.071475373090084e-10
-3.701871028477288e-05,-58.06860269450914,-2.8900030487636246e-09,5.607223717507336e-10
-3.6998705577783e-05,-57.48788565466401,3.1041587666744228e-09,-5.202114820992873e-10
-3.697870087079312e-05,-56.908258323838254,-3.310520320262196e-09,6.010976485621284e-10
-3.695869616380325e-05,-56.485400114681255,3.444994654918999e-09,-7.81407335302481e-10
